cell_set_accession	cell_label	cell_fullname	parent_cell_set_accession	parent_cell_set_name	labelset	cell_ontology_term_id	cell_ontology_term	rationale	rationale_dois	marker_gene_evidence	synonyms	neurotransmitter_accession	neurotransmitter_rationale	neurotransmitter_marker_gene_evidence	neighborhood	Neuronal	Glial	CTX.cluster_label	supertype.markers.combo _within subclass_	supertype.markers.combo	CCF_acronym.freq	sex.bias	cluster.markers.combo _within subclass_	nt.markers	CTX.supertype_label	v2.size	v3.size	cluster.TF.markers.combo	multiome.size	Dark	subclass.markers.combo	Light	anatomical_annotation	CTX.supertype_id	np.markers	CTX.subclass_id	cluster.markers.combo	CTX.subclass_label	CCF_broad.freq	merfish.markers.combo	CTX.size	subclass.tf.markers.combo	nt_type_label	nt_type_combo_label	CTX.cluster_id	CTX.neighborhood_id	F	CTX.neighborhood_label	M
CS20230722_CLUS_1445	1445 SI-MPO-LPO Lhx8 Gaba_3		CS20230722_SUPT_0398	0398 SI-MPO-LPO Lhx8 Gaba_3	cluster							CS20230722_NEUR_GABA	Gad2:9.64,Slc32a1:7.08,Gad1:6.96	Gad2|Slc32a1|Gad1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	MPO:0.39,MS:0.2,HY:0.09,NDB:0.09,VLPO:0.09	None	Tgfbi,9530026P05Rik	Gad2:9.64,Slc32a1:7.08,Gad1:6.96	None	20	96	Gbx2,Nkx2-1,Rorb,Zic3,Mkx,L3mbtl4	0	0.23	None	0.77	MPN MPO	None	Penk:8.9	None	Tmc5,Pi15,Cntnap4	None	HY:0.65,PAL:0.28	Lhx8,Ppp1r17,Vegfc,Trhr,Fign,Galnt14	None	None	GABA	GABA	None	None	0.39	None	0.61
CS20230722_CLUS_1446	1446 SI-MPO-LPO Lhx8 Gaba_4		CS20230722_SUPT_0399	0399 SI-MPO-LPO Lhx8 Gaba_4	cluster							CS20230722_NEUR_GABA	Gad2:10.16,Gad1:8.74,Slc32a1:7.86	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	STR:0.38,MPO:0.16,ADP:0.12,LPO:0.08,AVP:0.06,LSr:0.06	None	Adgrg6,Slc10a4	Gad2:10.16,Gad1:8.74,Slc32a1:7.86	None	34	36	Gbx2,Dlx1,Fosb,Zeb2,Sp9	0	0.07	None	0.93	MPO	None	Nts:4.9	None	Slc10a4,Gbx2,Adgrg6	None	HY:0.46,NA:0.38	Slc5a7,Bmp3,Nkx2-1,Kcnh8	None	None	GABA	GABA	None	None	0.41	None	0.59
CS20230722_CLUS_1447	1447 SI-MPO-LPO Lhx8 Gaba_4		CS20230722_SUPT_0399	0399 SI-MPO-LPO Lhx8 Gaba_4	cluster							CS20230722_NEUR_GABA	Gad2:9.81,Gad1:7.4,Slc32a1:7.3,Ddc:3.33	Gad2|Gad1|Slc32a1|Ddc	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	HY:0.48,ADP:0.14,BST:0.1,LSv:0.07,MPO:0.07	None	Pabpc1l,Pde11a,Dlk1,Lypd6b	Gad2:9.81,Gad1:7.4,Slc32a1:7.3,Ddc:3.33	None	21	68	Lhx6,Sox3,Gbx2,Zeb2,Zic1,Klf8	0	0.11	None	0.89	MPO	None	None	None	Lhx8,Pabpc1l,Sox3,Syt6	None	HY:0.79,PAL:0.1	Lhx8,Zeb2,Pde11a,Zic1,Ddc,Dlk1	None	None	GABA	GABA	None	None	0.39	None	0.61
CS20230722_CLUS_1448	1448 SI-MPO-LPO Lhx8 Gaba_4		CS20230722_SUPT_0399	0399 SI-MPO-LPO Lhx8 Gaba_4	cluster							CS20230722_NEUR_GABA	Gad2:9.67,Gad1:7.92,Slc32a1:7.41	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	HY:0.23,MPO:0.22,STR:0.17,LSv:0.11,MS:0.1	None	Bves,Crh,Tspan18	Gad2:9.67,Gad1:7.92,Slc32a1:7.41	None	33	137	Gbx2,Nr2e1,Dlx1,Zic3	0	0.1	None	0.9	MPO	None	Nts:8.5,Crh:3.3	None	Lhx8,Bmp3,Crh,Asb4	None	HY:0.59,NA:0.19,LSX:0.11	Lhx8,Bmp3,Crh,Lypd6	None	None	GABA	GABA	None	None	0.49	None	0.51
CS20230722_CLUS_1449	1449 SI-MPO-LPO Lhx8 Gaba_4		CS20230722_SUPT_0399	0399 SI-MPO-LPO Lhx8 Gaba_4	cluster							CS20230722_NEUR_GABA	Gad2:9.62,Gad1:7.65,Slc32a1:7.65	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	BST:0.19,HY:0.16,LPO:0.15,MPO:0.13,PS:0.09,SI:0.09	None	Sox3,Htr1b,Gpr149,Nts	Gad2:9.62,Gad1:7.65,Slc32a1:7.65	None	17	123	Gbx2,Dlx1,Sox3,Nr2e1,Zic1	0	0.1	None	0.9	MPO	None	Nts:4.6	None	Lhx8,Bmp3,Sox3,Htr1b	None	HY:0.6,PAL:0.28	Lhx8,Bmp3,Pde11a,Zic4,Prlr	None	None	GABA	GABA	None	None	0.45	None	0.55
CS20230722_CLUS_1450	1450 SI-MPO-LPO Lhx8 Gaba_4		CS20230722_SUPT_0399	0399 SI-MPO-LPO Lhx8 Gaba_4	cluster							CS20230722_NEUR_GABA	Gad2:9.85,Gad1:8.65,Slc32a1:7.75	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	STR:0.27,LSr:0.18,LPO:0.14,NDB:0.14,LSv:0.09	None	Trh	Gad2:9.85,Gad1:8.65,Slc32a1:7.75	None	4	34	Lhx6,Zic4,Esr2,Foxp2,Sp9	0	0.13	None	0.87	MPO	None	Pnoc:4.8	None	Ntrk1,Trh,Sntg2,Slc5a7	None	LSX:0.27,NA:0.27,HY:0.23,PAL:0.23	Nkx2-1,Slc5a7,C230014O12Rik,Gpr101,Tacr1	None	None	GABA	GABA	None	None	0.55	None	0.45
CS20230722_CLUS_1451	1451 SI-MPO-LPO Lhx8 Gaba_5		CS20230722_SUPT_0400	0400 SI-MPO-LPO Lhx8 Gaba_5	cluster							CS20230722_NEUR_GABA	Gad2:9.68,Gad1:8.93,Slc32a1:7.97	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	SI:0.32,STR:0.18,LPO:0.12,HY:0.09,ACB:0.07,LSv:0.07	None	Crabp1,Tafa4	Gad2:9.68,Gad1:8.93,Slc32a1:7.97	None	0	21	Gbx1,Zic3,Gbx2	0	0.24	None	0.76	LPO SI	None	Nts:6	None	Chrna2,Abca4,Tafa4	None	PAL:0.35,HY:0.33,NA:0.18	Lhx8,Tafa4,Rspo2,Ecel1	None	None	GABA	GABA	None	None	0.48	None	0.52
CS20230722_CLUS_1452	1452 SI-MPO-LPO Lhx8 Gaba_5		CS20230722_SUPT_0400	0400 SI-MPO-LPO Lhx8 Gaba_5	cluster							CS20230722_NEUR_Glut-GABA	Gad2:9.77,Gad1:8.48,Slc32a1:7.65,Slc17a8:4.16	Gad2|Gad1|Slc32a1|Slc17a8	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	LPO:0.41,HY:0.28,STR:0.14	None	Rspo4,Nxph2	Gad2:9.77,Gad1:8.48,Slc32a1:7.65,Slc17a8:4.16	None	17	48	Gbx1,Nr2e1,Zic4,Zeb2	0	0.03	None	0.97	LPO SI	None	Nts:8.2	None	Rspo4,Nts,Nxph2	None	HY:0.76,NA:0.14	Lhx8,Bmp3,Slc17a8,Npy2r	None	None	Glut-GABA	Glut-GABA	None	None	0.54	None	0.46
CS20230722_CLUS_1453	1453 SI-MPO-LPO Lhx8 Gaba_5		CS20230722_SUPT_0400	0400 SI-MPO-LPO Lhx8 Gaba_5	cluster							CS20230722_NEUR_GABA	Gad2:9.58,Gad1:8.52,Slc32a1:8.09	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	LPO:0.41,HY:0.16,NDB:0.16,SI:0.14	None	Nup62cl,Gbx1	Gad2:9.58,Gad1:8.52,Slc32a1:8.09	None	5	38	Gbx1,Nr2e1,Zic1,Nfia	0	0.21	None	0.79	LPO SI	None	Nts:6.1	None	Nup62cl,Gbx1,Lhx6	None	HY:0.66,PAL:0.31	Lhx8,Bmp3,Hgf	None	None	GABA	GABA	None	None	0.28	None	0.72
CS20230722_CLUS_1454	1454 SI-MPO-LPO Lhx8 Gaba_5		CS20230722_SUPT_0400	0400 SI-MPO-LPO Lhx8 Gaba_5	cluster							CS20230722_NEUR_GABA	Gad2:9.79,Gad1:8.73,Slc32a1:7.2	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	LPO:0.29,STR:0.18,ADP:0.06,AVP:0.06,CEAm:0.06,CP:0.06,HY:0.06,MPO:0.06	None	Abca4,A730046J19Rik	Gad2:9.79,Gad1:8.73,Slc32a1:7.2	None	5	26	Gbx1,Foxp2,Zic4,Zeb2,Klf5	0	0.16	None	0.84	LPO SI	None	Nts:3.2	None	Lhx8,Abca4,A730046J19Rik	None	HY:0.59,NA:0.24	Lhx8,Frzb,Zeb2,Lancl3	None	None	GABA	GABA	None	None	0.42	None	0.58
CS20230722_CLUS_1455	1455 SI-MPO-LPO Lhx8 Gaba_5		CS20230722_SUPT_0400	0400 SI-MPO-LPO Lhx8 Gaba_5	cluster							CS20230722_NEUR_GABA	Gad2:10.38,Gad1:8.77,Slc32a1:7.79	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	ACB:0.36,SI:0.23,GPe:0.08,CP:0.08,STR:0.08	None	Npr1	Gad2:10.38,Gad1:8.77,Slc32a1:7.79	None	0	35	Gbx1,Nr4a2,Hopx,Foxp2,Etv1,Mkx	0	0.17	None	0.83	LPO SI	None	None	None	Chrna2,Abca4,Gpr149	None	STRv:0.38,PAL:0.34,NA:0.17	Lhx8,Nr4a2,Rspo2,Ccbe1	None	None	GABA	GABA	None	None	0.6	None	0.4
CS20230722_CLUS_1456	1456 SI-MPO-LPO Lhx8 Gaba_6		CS20230722_SUPT_0401	0401 SI-MPO-LPO Lhx8 Gaba_6	cluster							CS20230722_NEUR_GABA	Gad2:9.27,Gad1:8.68,Slc32a1:7.5	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	LPO:0.69,HY:0.23	None	Gm31938	Gad2:9.27,Gad1:8.68,Slc32a1:7.5	None	14	34	Nr2e1,Zic1,Rxrg,Tox,Pou6f2	0	0.08	None	0.92	MPO	None	Nts:7.3	None	Nup62cl,Npffr2	None	HY:0.92	Nkx2-1,Popdc3,Galr1,Nts	None	None	GABA	GABA	None	None	0.27	None	0.73
CS20230722_CLUS_1457	1457 MPO-ADP Lhx8 Gaba_1		CS20230722_SUPT_0402	0402 MPO-ADP Lhx8 Gaba_1	cluster							CS20230722_NEUR_GABA	Gad2:10.34,Gad1:8.17,Slc32a1:7.68	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	NDB:0.28,LPO:0.23,SI:0.08,BST:0.08,LHA:0.07,fx:0.07,MA:0.05	None	Gucy2f,Lhx6	Gad2:10.34,Gad1:8.17,Slc32a1:7.68	None	90	186	Lhx6,Zfhx4,L3mbtl4,Nr2f2,Bcl11b,Tox3	0	0.07	None	0.93	MPO LPO VLPO	None	Pnoc:4	None	Lhx8,Gucy2f,Dkk2	None	PAL:0.54,HY:0.33	Lhx8,Nr2f2,Cntnap3,Col8a1	None	None	GABA	GABA	None	None	0.49	None	0.51
CS20230722_CLUS_1458	1458 MPO-ADP Lhx8 Gaba_1		CS20230722_SUPT_0402	0402 MPO-ADP Lhx8 Gaba_1	cluster							CS20230722_NEUR_GABA	Gad2:10.21,Gad1:8.14,Slc32a1:7.95	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	LPO:0.44,NDB:0.24,MPO:0.09,SI:0.09	None	Met,BC039966	Gad2:10.21,Gad1:8.14,Slc32a1:7.95	None	37	73	Lhx6,Npas1,Zfhx3,Bcl11b,Nr2f2,Foxg1	0	0.09	None	0.91	MPO LPO VLPO	None	Pnoc:4.4,Tac2:3.1	None	Lhx8,B130024G19Rik,Met	None	HY:0.59,PAL:0.41	Lhx8,Nr2f2,Met	None	None	GABA	GABA	None	None	0.36	None	0.64
CS20230722_CLUS_1459	1459 MPO-ADP Lhx8 Gaba_1		CS20230722_SUPT_0402	0402 MPO-ADP Lhx8 Gaba_1	cluster							CS20230722_NEUR_GABA	Gad2:9.8,Gad1:8.2,Slc32a1:8.1,Ddc:3.22	Gad2|Gad1|Slc32a1|Ddc	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	MPO:0.37,NDB:0.18,MS:0.14,HY:0.11,LPO:0.08	None	Cnih3	Gad2:9.8,Gad1:8.2,Slc32a1:8.1,Ddc:3.22	None	3	33	Gbx2,Dlx1,Pou6f2,Tox3	0	0.03	None	0.97	MPO LPO VLPO	None	Penk:3.8	None	Lhx8,Bmp3,Sv2b,Cbln4	None	HY:0.6,PAL:0.32	Lhx8,Bmp3,Sv2b,Cbln4	None	None	GABA	GABA	None	None	0.42	None	0.58
CS20230722_CLUS_1460	1460 MPO-ADP Lhx8 Gaba_2		CS20230722_SUPT_0403	0403 MPO-ADP Lhx8 Gaba_2	cluster							CS20230722_NEUR_GABA	Gad2:10.8,Gad1:8.67,Slc32a1:8.41	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	SI:0.52,HY:0.18,STR:0.07,ADP:0.05	None	Apbb1ip,Gda	Gad2:10.8,Gad1:8.67,Slc32a1:8.41	None	28	63	Lhx6,Zic1,L3mbtl4,Onecut2,Bcl11b,Klf5	0	0.16	None	0.84	ADP AVP MPO	None	Pnoc:7.4,Penk:3.5	None	Lhx8,Cpa6,Sfrp1,Tacr1	None	PAL:0.58,HY:0.33	Lhx8,Cpa6,Zfp536,Tacr1	None	None	GABA	GABA	None	None	0.35	None	0.65
CS20230722_CLUS_1461	1461 MPO-ADP Lhx8 Gaba_2		CS20230722_SUPT_0403	0403 MPO-ADP Lhx8 Gaba_2	cluster							CS20230722_NEUR_GABA	Gad2:10.64,Gad1:9.33,Slc32a1:7.95	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	ADP:0.26,MPO:0.25,HY:0.15,PS:0.15	None	Gm39185,Arhgap36	Gad2:10.64,Gad1:9.33,Slc32a1:7.95	None	1	69	Lhx6,Zic4,Foxp2,Tox3,L3mbtl4,Zbtb7c	0	0.13	None	0.87	ADP AVP MPO	None	Pnoc:3.1	None	4932435O22Rik,Gm39185,Arhgap36	None	HY:0.8	Lhx8,Arhgap28,Chst9	None	None	GABA	GABA	None	None	0.51	None	0.49
CS20230722_CLUS_1462	1462 MPO-ADP Lhx8 Gaba_2		CS20230722_SUPT_0403	0403 MPO-ADP Lhx8 Gaba_2	cluster							CS20230722_NEUR_GABA	Gad2:10.86,Gad1:9.7,Slc32a1:8.46	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	SI:0.29,HY:0.16,STR:0.16,LPO:0.13,MS:0.1	None	Hmcn1,Gm20063	Gad2:10.86,Gad1:9.7,Slc32a1:8.46	None	35	84	Lhx6,Zic4,L3mbtl4,Tox,Zfhx4,Tsc22d3	0	0.13	None	0.87	ADP AVP MPO	None	Pnoc:5.3	None	Ermn,Ano1,Sox1ot,Hmcn1	None	HY:0.43,PAL:0.39	Lhx8,Hmcn1,Adamts9,Kcnh8,Rab3b	None	None	GABA	GABA	None	None	0.42	None	0.58
CS20230722_CLUS_1463	1463 MPO-ADP Lhx8 Gaba_2		CS20230722_SUPT_0403	0403 MPO-ADP Lhx8 Gaba_2	cluster							CS20230722_NEUR_GABA	Gad2:10.69,Gad1:8.27,Slc32a1:8.06	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	STR:0.38,SI:0.22,LSv:0.21	None	Spef2	Gad2:10.69,Gad1:8.27,Slc32a1:8.06	None	1	60	Nkx2-1,Zic3,L3mbtl4,Sox2,Bcl11b,Tox3	0	0.16	None	0.84	ADP AVP MPO	None	Pnoc:4.5	None	Lhx8,Brs3,Pde11a	None	NA:0.38,PAL:0.29,LSX:0.22	Lhx8,Pth2r,Otof,Zic1	None	None	GABA	GABA	None	None	0.41	None	0.59
CS20230722_CLUS_1464	1464 MPO-ADP Lhx8 Gaba_2		CS20230722_SUPT_0403	0403 MPO-ADP Lhx8 Gaba_2	cluster							CS20230722_NEUR_GABA	Gad2:10.42,Gad1:9.32,Slc32a1:8.08	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	MPO:0.36,ADP:0.28,LSv:0.11,PS:0.08	None	Gpr50,Gm39185	Gad2:10.42,Gad1:9.32,Slc32a1:8.08	None	30	85	Lhx6,Klf4,Zic1,Klf12,Zbtb7c	0	0.08	None	0.92	ADP AVP MPO	None	Pnoc:4.6	None	4932435O22Rik,Gm39185,Mctp2	None	HY:0.79,LSX:0.12	Lhx8,Arhgap28,Fibcd1,Mctp2,Rab3b	None	None	GABA	GABA	None	None	0.46	None	0.54
CS20230722_CLUS_1465	1465 MPO-ADP Lhx8 Gaba_2		CS20230722_SUPT_0403	0403 MPO-ADP Lhx8 Gaba_2	cluster							CS20230722_NEUR_GABA	Gad2:10.53,Gad1:9.42,Slc32a1:8.43	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	LPO:0.52,MPO:0.19,SI:0.12	None	Gpr50,Cdh20	Gad2:10.53,Gad1:9.42,Slc32a1:8.43	None	37	134	Lhx6,Zic1,L3mbtl4,Onecut2,Mkx,Dlx1	0	0.07	None	0.93	ADP AVP MPO	None	Pnoc:5.3	None	4932435O22Rik,Gpr50,Pvalb	None	HY:0.84	Lhx8,Arhgap28,Sema3e,Zic1	None	None	GABA	GABA	None	None	0.42	None	0.58
CS20230722_CLUS_1466	1466 MPO-ADP Lhx8 Gaba_3		CS20230722_SUPT_0404	0404 MPO-ADP Lhx8 Gaba_3	cluster							CS20230722_NEUR_GABA	Gad2:10.32,Slc32a1:7.42,Gad1:7.42	Gad2|Slc32a1|Gad1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	HY:0.28,PS:0.21,BST:0.14,MPO:0.09,SI:0.08	None	Gm32828,Glp1r	Gad2:10.32,Slc32a1:7.42,Gad1:7.42	None	41	116	Nkx2-1,Six3,Onecut2,L3mbtl4,Esr1,Isl1	0	0.06	None	0.94	MPO	None	Cartpt:6.6,Pnoc:5.5	None	Lhx8,Gm32828,Glp1r	None	HY:0.68,PAL:0.24	Lhx8,C1ql3,Six3,Gpc3	None	None	GABA	GABA	None	None	0.55	None	0.45
CS20230722_CLUS_1467	1467 MPO-ADP Lhx8 Gaba_3		CS20230722_SUPT_0404	0404 MPO-ADP Lhx8 Gaba_3	cluster							CS20230722_NEUR_GABA	Gad2:10.19,Gad1:7.86,Slc32a1:7.24,Ddc:6.11	Gad2|Gad1|Slc32a1|Ddc	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	PS:0.4,HY:0.3,fiber tracts:0.1,BST:0.07	None	Nmu	Gad2:10.19,Gad1:7.86,Slc32a1:7.24,Ddc:6.11	None	7	25	Nkx2-1,Meis2,Rorb,Isl1,Plagl1	0	0.06	None	0.94	MPO	None	Tac1:9.1,Cartpt:8.6,Sst:4,Nmu:4	None	Nmu,Pgm5,Lhx8	None	HY:0.77,NA:0.13	Lhx8,Klhl14,Calcr	None	None	GABA	GABA	None	None	0.5	None	0.5
CS20230722_CLUS_1468	1468 MPO-ADP Lhx8 Gaba_3		CS20230722_SUPT_0404	0404 MPO-ADP Lhx8 Gaba_3	cluster							CS20230722_NEUR_GABA	Gad2:10.49,Gad1:8.63,Slc32a1:7.33,Th:5.72,Ddc:5.26	Gad2|Gad1|Slc32a1|Th|Ddc	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	HY:0.37,fiber tracts:0.29,act:0.09,PVpo:0.05,AVPV:0.03	None	Onecut3	Gad2:10.49,Gad1:8.63,Slc32a1:7.33,Th:5.72,Ddc:5.26	None	44	51	Onecut3,Nkx2-1,Zic1,Isl1	0	0.03	None	0.97	MPO	None	Cartpt:4.7,Trh:3.4	None	Lhx8,Onecut3,Isl1	None	HY:0.54,NA:0.38	Lhx8,Onecut3,Isl1	None	None	GABA	GABA	None	None	0.36	None	0.64
CS20230722_CLUS_1469	1469 MPO-ADP Lhx8 Gaba_3		CS20230722_SUPT_0404	0404 MPO-ADP Lhx8 Gaba_3	cluster							CS20230722_NEUR_Dopa	Gad2:10.98,Gad1:9.1,Slc32a1:7.81,Slc18a2:7.45,Th:7.1,Ddc:5.19	Gad2|Gad1|Slc32a1|Slc18a2|Th|Ddc	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	HY:0.25,PVpo:0.21,BAC:0.08,MPN:0.05,MPO:0.05,fiber tracts:0.05,BST:0.04,VMPO:0.04,ZI:0.04	None	Th,Radx	Gad2:10.98,Gad1:9.1,Slc32a1:7.81,Slc18a2:7.45,Th:7.1,Ddc:5.19	None	14	16	Nkx2-1,Sp8,L3mbtl4,Isl1	0	0.03	None	0.97	MPO	None	Cartpt:8.5,Pnoc:5.7,Pdyn:4.5,Tac1:4.1,Calca:3.1	None	Radx,Th,Lhx8	None	HY:0.74,NA:0.12	Lhx8,Sp8,Arhgap28	None	None	Dopa	GABA-Dopa	None	None	0.47	None	0.53
CS20230722_CLUS_1470	1470 MPO-ADP Lhx8 Gaba_3		CS20230722_SUPT_0404	0404 MPO-ADP Lhx8 Gaba_3	cluster							CS20230722_NEUR_GABA	Gad2:10.21,Gad1:7.99,Slc32a1:7.5	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	LPO:0.52,MPO:0.22,BST:0.18	None	Tac2,Gabrq	Gad2:10.21,Gad1:7.99,Slc32a1:7.5	None	54	72	Lhx6,Isl1,Nr2f2,Six3	0	0.1	None	0.9	MPO	None	Tac2:5,Cartpt:4,Pnoc:3.8	None	Lhx8,Gm40518,Drd2	None	HY:0.78,PAL:0.21	Lhx8,Tac2,Tmem132c	None	None	GABA	GABA	None	None	0.33	None	0.67
CS20230722_CLUS_1471	1471 MPO-ADP Lhx8 Gaba_3		CS20230722_SUPT_0404	0404 MPO-ADP Lhx8 Gaba_3	cluster							CS20230722_NEUR_GABA	Gad2:10.39,Gad1:8.03,Slc32a1:7.55	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	BST:0.37,HY:0.23,MPO:0.2,LPO:0.1	None	Grp,B130024G19Rik	Gad2:10.39,Gad1:8.03,Slc32a1:7.55	None	1	27	Isl1,Twist2,Foxg1,Pou6f2,Six3,Arx	0	0.25	None	0.75	MPO	None	Pnoc:4.7,Grp:4.1	None	Lhx8,Grp,B130024G19Rik	None	HY:0.63,PAL:0.37	Lhx8,Grp,Scn5a	None	None	GABA	GABA	None	None	0.32	None	0.68
CS20230722_CLUS_1472	1472 MPO-ADP Lhx8 Gaba_4		CS20230722_SUPT_0405	0405 MPO-ADP Lhx8 Gaba_4	cluster							CS20230722_NEUR_GABA	Gad2:10.59,Gad1:8.33,Slc32a1:7.34,Ddc:4.9	Gad2|Gad1|Slc32a1|Ddc	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	BST:0.17,HY:0.17,SI:0.17,PS:0.13,ACB:0.09,ADP:0.09	None	Tac1,Ntn1	Gad2:10.59,Gad1:8.33,Slc32a1:7.34,Ddc:4.9	None	13	49	Nkx2-1,Meis2,L3mbtl4,Isl1,Tox3,Lhx6	0	0.06	None	0.94	MPO	None	Cartpt:4.2	None	Lhx8,G630016G05Rik,Stk32a,Gm13481	None	HY:0.48,PAL:0.35	Lhx8,G630016G05Rik,Sema3e,Nkx2-1,Ntn1	None	None	GABA	GABA	None	None	0.47	None	0.53
CS20230722_CLUS_1473	1473 MPO-ADP Lhx8 Gaba_4		CS20230722_SUPT_0405	0405 MPO-ADP Lhx8 Gaba_4	cluster							CS20230722_NEUR_GABA	Gad2:10.59,Gad1:8.59,Slc32a1:7.74	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	SI:0.31,ACB:0.22,STR:0.13,BST:0.09,HY:0.08	None	Sst,Lypd6b,Sfta3-ps	Gad2:10.59,Gad1:8.59,Slc32a1:7.74	None	26	282	Lhx6,Meis2,Id4,Tox3,Zfhx3,Bcl11b	0	0.09	None	0.91	PS? MPO	None	Sst:3.7	None	Lhx8,Stk32a,Masp1,Shroom4	None	PAL:0.41,STRv:0.22,HY:0.16,NA:0.15	Lhx8,Lncenc1,Gpr139,Ccbe1,Pde11a,Nkx2-1,Kctd8	None	None	GABA	GABA	None	None	0.5	None	0.5
CS20230722_CLUS_1474	1474 MPO-ADP Lhx8 Gaba_4		CS20230722_SUPT_0405	0405 MPO-ADP Lhx8 Gaba_4	cluster							CS20230722_NEUR_GABA	Gad2:9.89,Gad1:8.57,Slc32a1:7.78,Ddc:5.96	Gad2|Gad1|Slc32a1|Ddc	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	MPO:0.27,SI:0.22,LPO:0.18,NDB:0.16	None	Nxph4	Gad2:9.89,Gad1:8.57,Slc32a1:7.78,Ddc:5.96	None	8	28	Nkx2-1,Bcl11b,Rorb,Foxg1,Zfhx4,L3mbtl4	0	0.03	None	0.97	MPO	None	None	None	C630031E19Rik,Gm40518	None	HY:0.57,PAL:0.41	Lhx8,Nxph4,Tafa1	None	None	GABA	GABA	None	None	0.5	None	0.5
CS20230722_CLUS_1475	1475 MPO-ADP Lhx8 Gaba_4		CS20230722_SUPT_0405	0405 MPO-ADP Lhx8 Gaba_4	cluster							CS20230722_NEUR_GABA	Gad2:10.64,Gad1:8.56,Slc32a1:7.72	Gad2|Gad1|Slc32a1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	BST:0.57,PS:0.3	None	Crh,Cckar	Gad2:10.64,Gad1:8.56,Slc32a1:7.72	None	3	97	Isl1,Esr1,Bcl11b,Insm1,Foxg1,Mkx	0	0.07	None	0.93	PS?	None	Crh:7.1	None	Lhx8,Npbwr1,Sostdc1	None	PAL:0.58,HY:0.36	Lhx8,Npbwr1,Crh,Igfbpl1	None	None	GABA	GABA	None	None	0.62	None	0.38
CS20230722_CLUS_1476	1476 MPO-ADP Lhx8 Gaba_4		CS20230722_SUPT_0405	0405 MPO-ADP Lhx8 Gaba_4	cluster							CS20230722_NEUR_GABA	Gad2:10.31,Slc32a1:8.29,Gad1:8.06	Gad2|Slc32a1|Gad1	Subpallium-GABA;HY-EA-Glut-GABA	None	None	None	None	None	BST:0.56,HY:0.23,PS:0.1	None	Crh,Kcnj5	Gad2:10.31,Slc32a1:8.29,Gad1:8.06	None	0	67	Gli3,Lhx6,Esr1,Isl1	0	0.13	None	0.87	PS?	None	Crh:6.1,Penk:4.3	None	7630403G23Rik,Crh	None	PAL:0.62,HY:0.34	Lhx8,Gli3,Crh	None	None	GABA	GABA	None	None	0.69	None	0.31
